sigla_uf,ano,pib,regiao
PB,2019,67986074,NORDESTE
PE,2019,197853378,NORDESTE
AL,2019,58963729,NORDESTE
SE,2019,44689483,NORDESTE
BA,2019,293240504,NORDESTE
MG,2019,651872684,SUDESTE
ES,2019,137345595,SUDESTE
RJ,2019,779927917,SUDESTE
SP,2019,2348338000,SUDESTE
PR,2019,466377036,SUL
SC,2019,323263857,SUL
RS,2019,482464177,SUL
MS,2019,106943246,CENTRO OESTE
MT,2019,142122028,CENTRO OESTE
GO,2019,208672492,CENTRO OESTE
DF,2019,273613711,NORDESTE
