Semana-Ano;PRECO GASOLINA;PRECO PETROLEO;MEDIA
37-2016;3.638;46.208;3.32308
37-2017;3.849;55.544000000000004;3.1592000000000002
37-2018;4.507;78.10799999999999;3.9618624999999996
37-2019;4.063;62.738;4.09475
38-2004;2.125;41.552;2.8980000000000006
38-2005;2.402;63.628;2.28554
38-2006;2.422;60.232000000000006;2.17492
38-2007;2.443;78.17;1.88212
38-2008;2.449;89.348;1.84861
38-2009;2.46;68.846;1.80929
38-2010;2.53;78.378;1.7190400000000001
38-2011;2.702;111.984;1.8311199999999999
38-2012;2.634;111.832;2.02509
38-2013;2.75;109.976;2.23219
38-2014;2.92;97.018;2.34938
38-2015;3.252;47.336;3.8640300000000005
38-2016;3.643;46.238;3.2381900000000003
38-2017;3.843;57.034000000000006;3.12993
38-2018;4.535;78.96600000000001;4.11982
38-2019;4.12;65.55600000000001;4.11633
39-2004;2.122;45.29600000000001;2.8724
39-2005;2.419;62.164;2.3591714285714285
39-2006;2.403;58.758;2.2019583333333332
39-2007;2.439;78.15;1.85399
39-2008;2.447;100.914;1.83265
39-2009;2.438;66.95599999999999;1.80273
39-2010;2.53;79.82000000000001;1.7396833333333335
39-2011;2.709;107.69200000000001;1.789642857142857
39-2012;2.632;110.354;2.02982
39-2013;2.758;108.80199999999999;2.22179
39-2014;2.893;95.01;2.40322
39-2015;3.269;47.334;4.02496
39-2016;3.653;46.744;3.3520749999999997
39-2017;3.854;58.75;3.173966666666667
39-2018;4.532;81.846;4.05172
39-2019;4.127;63.152;4.16164
4-2005;2.195;45.815999999999995;2.6721399999999997
4-2006;2.42;63.774;2.2421599999999997
4-2007;2.398;54.86800000000001;2.13345
4-2008;2.441;88.455;1.80334
4-2009;2.43;41.667500000000004;2.34322
4-2010;2.614;71.882;1.84649
4-2011;2.6010000000000004;96.62;1.67328
4-2012;2.692;109.17999999999999;1.7528099999999998
4-2013;2.824;113.7175;2.03766
4-2014;2.991;109.14000000000001;2.37116
4-2015;2.965;46.4425;2.60657
4-2016;3.64;31.748;4.07498
4-2017;3.692;54.90599999999999;3.16898
4-2018;4.141;70.03999999999999;3.17831
4-2019;4.046;61.342;3.77433
4-2020;4.346;62.2;4.1833
4-2021;4.499;55.44;5.4269
40-2004;2.126;47.11;2.8781666666666665
40-2005;2.398;58.926;2.486075
40-2006;2.543;57.146;2.1445833333333333
40-2007;2.4530000000000003;77.978;2.025775
40-2008;2.441;91.9;1.79634
40-2009;2.501;65.9;2.027433333333333
40-2010;2.553;83.866;1.7758749999999999
40-2011;2.7060000000000004;104.032;1.6177000000000001
40-2012;2.629;111.40799999999999;1.8706300000000002
40-2013;2.756;108.63399999999999;2.08325
40-2014;2.906;93.40599999999999;2.36865
40-2015;3.44;46.988;3.5223750000000003
40-2016;3.653;49.524;3.4257875
40-2017;3.844;56.076;3.1716833333333336
40-2018;4.553;85.442;3.516875
40-2019;4.13;59.222;3.90587
41-2004;2.141;48.086;3.0448500000000003
41-2005;2.388;58.589999999999996;2.2322375
41-2006;2.536;58.327999999999996;2.1476333333333333
41-2007;2.444;78.852;1.8673125
41-2008;2.439;80.976;1.9849083333333333
41-2009;2.514;67.86800000000001;1.8635300000000001
41-2010;2.548;83.114;1.67807
41-2011;2.702;111.58599999999998;1.753875
41-2012;2.624;114.876;2.0393375
41-2013;2.757;110.304;2.26095
41-2014;2.908;90.186;2.383566666666667
41-2015;3.439;51.33200000000001;3.4776499999999997
41-2016;3.654;49.94199999999999;3.22475
41-2017;3.852;56.205999999999996;3.2015166666666666
41-2018;4.553999999999999;83.05199999999999;3.8965249999999996
41-2019;4.146;59.394000000000005;4.0329375
42-2004;2.2030000000000003;50.956;2.8352
42-2005;2.402;58.153999999999996;2.24694
42-2006;2.545;58.508;2.13705
42-2007;2.446;84.28999999999999;1.80637
42-2008;2.428;69.28;2.1440200000000003
42-2009;2.525;72.288;1.72469
42-2010;2.546;81.426;1.68376
42-2011;2.7060000000000004;111.47200000000001;1.76891
42-2012;2.612;113.59200000000001;2.03241
42-2013;2.787;110.10799999999999;2.17224
42-2014;2.901;85.498;2.43261
42-2015;3.468;48.994;3.83199
42-2016;3.666;50.334;3.17676
42-2017;3.833;57.775999999999996;3.17035
42-2018;4.545;80.40599999999999;3.71334
